date,close_krw,close_usd
1990-12-28,235495.0,328.72
1990-12-21,237865.0,331.75
1990-12-14,233644.0,326.82
1990-12-07,233686.0,327.75
1990-11-30,230065.0,322.22
1990-11-23,225044.0,315.1
1990-11-16,226773.0,317.12
1990-11-09,224199.0,313.74
1990-11-02,222910.0,311.85
1990-10-26,218172.0,304.71
1990-10-19,223486.0,312.48
1990-10-12,214161.0,300.03
1990-10-05,222068.0,311.5
1990-09-28,218887.0,306.05
1990-09-21,223061.0,311.32
1990-09-14,226945.0,316.83
1990-09-07,230681.0,323.4
1990-08-31,230921.0,322.56
1990-08-24,223508.0,311.51
1990-08-17,234825.0,327.83
1990-08-10,239662.0,335.52
1990-08-03,246678.0,344.86
1990-07-27,252922.0,353.44
1990-07-20,258913.0,361.61
1990-07-13,263288.0,367.31
1990-07-06,256629.0,358.42
1990-06-29,256629.0,358.02
1990-06-22,254559.0,355.43
1990-06-15,259517.0,362.91
1990-06-08,255222.0,358.71
1990-06-01,258534.0,363.16
1990-05-25,251752.0,354.58
1990-05-18,250979.0,354.64
1990-05-11,248336.0,352.0
1990-05-04,238734.0,338.39
1990-04-27,232055.0,329.11
1990-04-20,236762.0,335.12
1990-04-12,243311.0,344.34
1990-04-06,238770.0,340.08
1990-03-30,237788.0,339.94
1990-03-23,234806.0,337.22
1990-03-16,238687.0,341.91
1990-03-09,235909.0,337.93
1990-03-02,232328.0,335.54
1990-02-23,223858.0,324.15
1990-02-16,229244.0,332.72
1990-02-09,229564.0,333.62
1990-02-02,226713.0,330.92
1990-01-26,223206.0,325.8
1990-01-19,231741.0,339.15
1990-01-12,231458.0,339.93
1990-01-05,239355.0,352.2
