date,close_krw,close_usd
2026-04-10,3270000.0,2207.82
2026-04-08,3326000.0,2207.33
2026-04-07,3190000.0,2116.51
2026-04-05,3187000.0,2098.37
2026-03-29,3016000.0,2002.39
2026-03-22,3083000.0,2055.74
2026-03-15,3200000.0,2162.45
2026-03-08,2869000.0,1959.3
2026-03-01,2829000.0,1985.96
2026-02-22,2881000.0,1985.94
2026-02-15,2922000.0,2024.39
2026-02-08,3106000.0,2121.44
2026-02-01,3349000.0,2346.88
2026-01-25,4182000.0,2848.0
2026-01-18,4868000.0,3312.24
2026-01-11,4592000.0,3168.21
2026-01-04,4548000.0,3169.56
