date,close_krw,close_usd
2011-12-29,1825.74,1825.74
2011-12-23,1867.22,1867.22
2011-12-16,1839.96,1839.96
2011-12-09,1874.75,1874.75
2011-12-02,1916.04,1916.04
2011-11-25,1776.4,1776.4
2011-11-18,1839.17,1839.17
2011-11-11,1863.45,1863.45
2011-11-04,1928.41,1928.41
2011-10-28,1929.48,1929.48
2011-10-21,1838.38,1838.38
2011-10-14,1835.4,1835.4
2011-10-07,1759.77,1759.77
2011-09-30,1769.65,1769.65
2011-09-23,1697.44,1697.44
2011-09-16,1840.1,1840.1
2011-09-09,1812.93,1812.93
2011-09-02,1867.75,1867.75
2011-08-26,1778.95,1778.95
2011-08-19,1744.88,1744.88
2011-08-12,1793.31,1793.31
2011-08-05,1943.75,1943.75
2011-07-29,2133.21,2133.21
2011-07-22,2171.23,2171.23
2011-07-15,2145.2,2145.2
2011-07-08,2180.35,2180.35
2011-07-01,2125.74,2125.74
2011-06-24,2090.81,2090.81
2011-06-17,2031.93,2031.93
2011-06-10,2046.67,2046.67
2011-06-03,2113.47,2113.47
2011-05-27,2100.24,2100.24
2011-05-20,2111.5,2111.5
2011-05-13,2120.08,2120.08
2011-05-06,2147.45,2147.45
2011-04-29,2192.36,2192.36
2011-04-22,2197.82,2197.82
2011-04-15,2140.5,2140.5
2011-04-08,2127.97,2127.97
2011-04-01,2121.01,2121.01
2011-03-25,2054.04,2054.04
2011-03-18,1981.13,1981.13
2011-03-11,1955.54,1955.54
2011-03-04,2004.68,2004.68
2011-02-25,1963.43,1963.43
2011-02-18,2013.14,2013.14
2011-02-11,1977.19,1977.19
2011-02-01,2072.03,2072.03
2011-01-28,2107.87,2107.87
2011-01-21,2069.92,2069.92
2011-01-14,2108.17,2108.17
2011-01-07,2086.2,2086.2
