date,close_krw,close_usd
1988-12-30,190155.0,277.72
1988-12-23,190285.0,277.87
1988-12-16,189176.0,276.29
1988-12-09,190015.0,277.03
1988-12-02,187005.0,271.81
1988-11-25,184629.0,267.23
1988-11-18,184690.0,266.47
1988-11-11,186928.0,267.92
1988-11-04,193804.0,276.31
1988-10-28,196113.0,278.53
1988-10-21,201058.0,283.66
1988-10-14,197341.0,275.5
1988-10-07,199932.0,278.07
1988-09-30,195503.0,271.91
1988-09-23,194227.0,269.76
1988-09-16,194868.0,270.65
1988-09-09,192605.0,266.84
1988-09-02,190902.0,264.48
1988-08-26,187593.0,259.68
1988-08-19,188075.0,260.24
1988-08-12,189929.0,262.55
1988-08-05,196258.0,271.15
1988-07-29,196888.0,272.02
1988-07-22,191301.0,263.5
1988-07-15,197590.0,272.05
1988-07-08,196710.0,270.02
1988-07-01,198073.0,271.78
1988-06-24,199394.0,273.78
1988-06-17,197217.0,270.68
1988-06-10,198644.0,271.26
1988-06-03,195281.0,266.45
1988-05-27,186112.0,253.42
1988-05-20,185944.0,253.02
1988-05-13,189606.0,256.78
1988-05-06,190535.0,257.48
1988-04-29,193489.0,261.33
1988-04-22,192686.0,260.14
1988-04-15,192957.0,259.77
1988-04-08,200240.0,269.43
1988-03-31,193520.0,258.89
1988-03-25,194477.0,258.51
1988-03-18,204641.0,271.12
1988-03-11,201407.0,264.94
1988-03-04,203362.0,267.3
1988-02-26,201622.0,262.46
1988-02-19,202748.0,261.61
1988-02-12,200926.0,257.63
1988-02-05,196150.0,250.96
1988-01-29,201697.0,257.07
1988-01-22,194143.0,246.5
1988-01-15,199397.0,252.05
1988-01-08,192846.0,243.4
