date,close_krw,close_usd
2001-12-28,2605298.0,1987.26
2001-12-21,2492803.0,1945.83
2001-12-14,2486971.0,1953.17
2001-12-07,2566394.0,2021.26
2001-11-30,2462648.0,1930.58
2001-11-23,2442567.0,1903.2
2001-11-16,2434929.0,1898.58
2001-11-09,2370807.0,1828.48
2001-11-02,2262466.0,1745.73
2001-10-26,2301771.0,1768.96
2001-10-19,2172536.0,1671.3101
2001-10-12,2236394.0,1703.4
2001-10-05,2101498.0,1605.3
2001-09-28,1945442.0,1498.8
2001-09-21,1845450.0,1423.1899
2001-09-10,2182971.0,1695.38
2001-09-07,2163800.0,1687.7
2001-08-31,2314561.0,1805.4301
2001-08-24,2460021.0,1916.8
2001-08-17,2392013.0,1867.01
2001-08-10,2511716.0,1956.47
2001-08-03,2688502.0,2066.3301
2001-07-27,2645298.0,2029.0699
2001-07-20,2646298.0,2029.37
2001-07-13,2700845.0,2084.79
2001-07-06,2606811.0,2004.16
2001-06-29,2817776.0,2160.54
2001-06-22,2629013.0,2034.84
2001-06-15,2608155.0,2028.4301
2001-06-08,2840201.0,2215.1001
2001-06-01,2769553.0,2149.4399
2001-05-25,2924538.0,2251.03
2001-05-18,2862282.0,2198.8799
2001-05-11,2729754.0,2107.4299
2001-05-04,2838689.0,2191.53
2001-04-27,2717480.0,2075.6799
2001-04-20,2861759.0,2163.4099
2001-04-12,2641654.0,1961.4301
2001-04-06,2284638.0,1720.36
2001-03-30,2419390.0,1840.26
2001-03-23,2491083.0,1928.6801
2001-03-16,2395972.0,1890.91
2001-03-09,2589377.0,2052.78
2001-03-02,2639837.0,2117.6299
2001-02-23,2810942.0,2262.51
2001-02-16,3059132.0,2425.3799
2001-02-09,3093407.0,2470.97
2001-02-02,3392936.0,2660.5
2001-01-26,3550886.0,2781.3
2001-01-19,3549411.0,2770.3799
2001-01-12,3329877.0,2626.5
2001-01-05,3032917.0,2407.6499
