date,close_krw,close_usd
1995-12-31,4.73,4.73
1995-12-24,5.44,5.44
1995-12-17,5.78,5.78
1995-12-10,5.73,5.73
1995-12-03,5.56,5.56
1995-11-26,5.97,5.97
1995-11-19,5.7,5.7
1995-11-12,5.68,5.68
1995-11-05,5.66,5.66
1995-10-29,5.68,5.68
1995-10-22,5.7,5.7
1995-10-15,5.7,5.7
1995-10-08,5.65,5.65
1995-10-01,6.2,6.2
1995-09-24,5.66,5.66
1995-09-17,5.8,5.8
1995-09-10,5.67,5.67
1995-09-03,5.72,5.72
1995-08-27,5.71,5.71
1995-08-20,5.68,5.68
1995-08-13,5.67,5.67
1995-08-06,5.72,5.72
1995-07-30,5.77,5.77
1995-07-23,5.74,5.74
1995-07-16,5.68,5.68
1995-07-09,5.77,5.77
1995-07-02,6.11,6.11
1995-06-25,5.94,5.94
1995-06-18,6.02,6.02
1995-06-11,6.02,6.02
1995-06-04,6.02,6.02
1995-05-28,5.97,5.97
1995-05-21,5.94,5.94
1995-05-14,5.99,5.99
1995-05-07,5.98,5.98
1995-04-30,6.06,6.06
1995-04-23,5.93,5.93
1995-04-16,6.09,6.09
1995-04-09,5.94,5.94
1995-04-02,6.3,6.3
1995-03-26,6.03,6.03
1995-03-19,5.95,5.95
1995-03-12,5.9,5.9
1995-03-05,5.93,5.93
1995-02-26,5.87,5.87
1995-02-19,5.93,5.93
1995-02-12,5.94,5.94
1995-02-05,5.94,5.94
1995-01-29,5.67,5.67
1995-01-22,5.37,5.37
1995-01-15,5.47,5.47
1995-01-08,5.52,5.52
1995-01-01,4.94,4.94
