date,close_krw,close_usd
1988-12-31,684.1,1.0
1988-12-24,684.7,1.0
1988-12-17,684.8,1.0
1988-12-10,684.7,1.0
1988-12-03,685.9,1.0
1988-11-26,688.0,1.0
1988-11-19,690.9,1.0
1988-11-12,693.1,1.0
1988-11-05,697.7,1.0
1988-10-29,701.4,1.0
1988-10-22,704.1,1.0
1988-10-15,708.8,1.0
1988-10-08,716.3,1.0
1988-09-30,719.0,1.0
1988-09-24,719.6,1.0
1988-09-17,720.0,1.0
1988-09-10,720.0,1.0
1988-09-03,721.8,1.0
1988-08-27,721.8,1.0
1988-08-20,722.4,1.0
1988-08-13,722.7,1.0
1988-08-06,723.4,1.0
1988-07-30,723.8,1.0
1988-07-23,723.8,1.0
1988-07-16,726.0,1.0
1988-07-09,726.3,1.0
1988-07-02,728.5,1.0
1988-06-25,728.8,1.0
1988-06-18,728.3,1.0
1988-06-11,728.6,1.0
1988-06-04,732.3,1.0
1988-05-28,732.9,1.0
1988-05-21,734.4,1.0
1988-05-14,734.9,1.0
1988-05-07,738.4,1.0
1988-04-30,740.0,1.0
1988-04-23,740.4,1.0
1988-04-16,740.7,1.0
1988-04-09,742.8,1.0
1988-04-02,743.2,1.0
1988-03-26,747.5,1.0
1988-03-19,752.3,1.0
1988-03-12,754.8,1.0
1988-03-05,760.2,1.0
1988-02-27,760.8,1.0
1988-02-20,768.2,1.0
1988-02-13,775.0,1.0
1988-02-06,779.9,1.0
1988-01-30,781.6,1.0
1988-01-23,784.6,1.0
1988-01-16,787.6,1.0
1988-01-09,791.1,1.0
