date,close_krw,close_usd
1929-12-27,27066.0,20.82
1929-12-20,26208.0,20.16
1929-12-13,28210.0,21.7
1929-12-06,29185.0,22.45
1929-11-27,27196.0,20.92
1929-11-22,27989.0,21.53
1929-11-15,26390.0,20.3
1929-11-08,27534.0,21.18
1929-10-31,31395.0,24.15
1929-10-25,33956.0,26.12
1929-10-18,37492.0,28.84
1929-10-11,39988.0,30.76
1929-10-04,37245.0,28.65
1929-09-27,39351.0,30.27
1929-09-20,40807.0,31.39
1929-09-13,40794.0,31.38
1929-09-06,41379.0,31.83
1929-08-30,41223.0,31.71
1929-08-23,40417.0,31.09
1929-08-16,39286.0,30.22
1929-08-09,36894.0,28.38
1929-08-02,38428.0,29.56
1929-07-26,37258.0,28.66
1929-07-19,37388.0,28.76
1929-07-12,37141.0,28.57
1929-07-05,36816.0,28.32
1929-06-28,35633.0,27.41
1929-06-21,34606.0,26.62
1929-06-14,33709.0,25.93
1929-06-07,33189.0,25.53
1929-05-31,32279.0,24.83
1929-05-24,32656.0,25.12
1929-05-17,33917.0,26.09
1929-05-10,34242.0,26.34
1929-05-03,34281.0,26.37
1929-04-26,33254.0,25.58
1929-04-19,33033.0,25.41
1929-04-12,32695.0,25.15
1929-04-05,32565.0,25.05
1929-03-28,33189.0,25.53
1929-03-22,33215.0,25.55
1929-03-15,33904.0,26.08
1929-03-08,32903.0,25.31
1929-03-01,33579.0,25.83
1929-02-21,32318.0,24.86
1929-02-15,31655.0,24.35
1929-02-08,31772.0,24.44
1929-02-01,33592.0,25.84
1929-01-25,33124.0,25.48
1929-01-18,32201.0,24.77
1929-01-11,31902.0,24.54
1929-01-04,32305.0,24.85
