date,close_krw,close_usd
1975-12-26,37331.0,77.13
1975-12-19,36745.0,75.92
1975-12-12,36256.0,74.91
1975-12-05,36164.0,74.72
1975-11-28,38139.0,78.8
1975-11-21,37626.0,77.74
1975-11-14,38226.0,78.98
1975-11-07,37370.0,77.21
1975-10-31,37263.0,76.99
1975-10-24,38052.0,78.62
1975-10-17,37573.0,77.63
1975-10-10,37249.0,76.96
1975-10-03,36542.0,75.5
1975-09-26,36852.0,76.14
1975-09-19,36973.0,76.39
1975-09-12,36164.0,74.72
1975-09-05,37646.0,77.78
1975-08-29,38241.0,79.01
1975-08-22,37002.0,76.45
1975-08-15,38033.0,78.58
1975-08-08,38502.0,79.55
1975-08-01,39504.0,81.62
1975-07-25,40462.0,83.6
1975-07-18,42118.0,87.02
1975-07-11,42205.0,87.2
1975-07-03,41721.0,86.2
1975-06-27,41866.0,86.5
1975-06-20,41256.0,85.24
1975-06-13,40380.0,83.43
1975-06-06,41029.0,84.77
1975-05-30,40220.0,83.1
1975-05-23,39988.0,82.62
1975-05-16,39901.0,82.44
1975-05-09,40085.0,82.82
1975-05-02,38841.0,80.25
1975-04-25,38062.0,78.64
1975-04-18,37791.0,78.08
1975-04-11,36934.0,76.31
1975-04-04,36169.0,74.73
1975-03-27,36871.0,76.18
1975-03-21,36745.0,75.92
1975-03-14,36818.0,76.07
1975-03-07,36010.0,74.4
1975-02-28,35332.0,73.0
1975-02-21,35714.0,73.79
1975-02-14,35458.0,73.26
1975-02-07,34422.0,71.12
1975-01-31,33774.0,69.78
1975-01-24,31644.0,65.38
1975-01-17,31170.0,64.4
1975-01-10,30826.0,63.69
1975-01-03,29635.0,61.23
