date,close_krw,close_usd
2002-12-27,1053281.0,875.4
2002-12-20,1082974.0,895.76
2002-12-13,1092281.0,889.48
2002-12-06,1101974.0,912.23
2002-11-29,1136212.0,936.31
2002-11-22,1124849.0,930.55
2002-11-15,1101258.0,909.83
2002-11-08,1095162.0,894.74
2002-11-01,1108721.0,900.96
2002-10-25,1115061.0,897.65
2002-10-18,1115304.0,884.39
2002-10-11,1028446.0,835.32
2002-10-04,981111.0,800.58
2002-09-27,1003434.0,827.37
2002-09-20,1025289.0,845.39
2002-09-13,1062967.0,889.81
2002-09-06,1073151.0,893.92
2002-08-30,1101574.0,916.07
2002-08-23,1118777.0,940.86
2002-08-16,1121118.0,928.77
2002-08-09,1073286.0,908.64
2002-08-02,1019803.0,864.24
2002-07-26,998932.0,852.84
2002-07-19,1003143.0,847.75
2002-07-12,1107234.0,921.39
2002-07-05,1188616.0,989.03
2002-06-28,1207778.0,989.82
2002-06-21,1218324.0,989.14
2002-06-14,1237330.0,1007.27
2002-06-07,1259957.0,1027.53
2002-05-31,1331471.0,1067.14
2002-05-24,1372008.0,1083.8199
2002-05-17,1416546.0,1106.59
2002-05-10,1359038.0,1054.99
2002-05-03,1393205.0,1073.4301
2002-04-26,1410840.0,1076.3199
2002-04-19,1498614.0,1125.17
2002-04-12,1477532.0,1111.01
2002-04-05,1489189.0,1122.73
2002-03-28,1524193.0,1147.39
2002-03-22,1519041.0,1148.7
2002-03-15,1528369.0,1166.16
2002-03-08,1543875.0,1164.3101
2002-03-01,1495987.0,1131.78
2002-02-22,1433684.0,1089.84
2002-02-15,1456193.0,1104.1801
2002-02-08,1446572.0,1096.22
2002-02-01,1490955.0,1122.2
2002-01-25,1495930.0,1133.28
2002-01-18,1478708.0,1127.58
2002-01-11,1498101.0,1145.6
2002-01-04,1554866.0,1172.51
