date,close_krw,close_usd
1964-12-31,255.77,1.0
1964-12-26,255.77,1.0
1964-12-19,255.77,1.0
1964-12-11,255.77,1.0
1964-12-05,255.77,1.0
1964-11-28,255.77,1.0
1964-11-21,255.77,1.0
1964-11-14,255.77,1.0
1964-11-07,255.77,1.0
1964-10-31,255.77,1.0
1964-10-23,255.77,1.0
1964-10-16,255.77,1.0
1964-10-09,255.77,1.0
1964-10-02,255.77,1.0
1964-09-26,255.77,1.0
1964-09-19,255.77,1.0
1964-09-12,255.77,1.0
1964-09-05,255.77,1.0
1964-08-29,255.77,1.0
1964-08-22,255.77,1.0
1964-08-14,255.77,1.0
1964-08-07,255.77,1.0
1964-08-01,255.77,1.0
1964-07-25,255.77,1.0
1964-07-18,255.77,1.0
1964-07-11,255.77,1.0
1964-07-04,255.77,1.0
1964-06-27,255.77,1.0
1964-06-20,255.77,1.0
1964-06-13,255.77,1.0
1964-06-05,255.77,1.0
1964-05-30,255.77,1.0
1964-05-23,255.77,1.0
1964-05-16,255.77,1.0
1964-05-09,255.77,1.0
