date,close_krw,close_usd
1950-12-29,26559.0,20.43
1950-12-22,26091.0,20.07
1950-12-15,25129.0,19.33
1950-12-08,25220.0,19.4
1950-12-01,25558.0,19.66
1950-11-24,26416.0,20.32
1950-11-17,25818.0,19.86
1950-11-10,25922.0,19.94
1950-11-03,25805.0,19.85
1950-10-27,25701.0,19.77
1950-10-20,25948.0,19.96
1950-10-13,25805.0,19.85
1950-10-06,26156.0,20.12
1950-09-29,25285.0,19.45
1950-09-22,25272.0,19.44
1950-09-15,25077.0,19.29
1950-09-08,24375.0,18.75
1950-09-01,24115.0,18.55
1950-08-25,24102.0,18.54
1950-08-18,24284.0,18.68
1950-08-11,23764.0,18.28
1950-08-04,23582.0,18.14
1950-07-28,22997.0,17.69
1950-07-21,22867.0,17.59
1950-07-14,21931.0,16.87
1950-07-07,22971.0,17.67
1950-06-30,22997.0,17.69
1950-06-23,24882.0,19.14
1950-06-16,24661.0,18.97
1950-06-09,25038.0,19.26
1950-06-02,24427.0,18.79
1950-05-26,24271.0,18.67
1950-05-19,24284.0,18.68
1950-05-12,23634.0,18.18
1950-05-05,23686.0,18.22
1950-04-28,23348.0,17.96
1950-04-21,23348.0,17.96
1950-04-14,23348.0,17.96
1950-04-06,23114.0,17.78
1950-03-31,22477.0,17.29
1950-03-24,22828.0,17.56
1950-03-17,22685.0,17.45
1950-03-10,22217.0,17.09
1950-03-03,22477.0,17.29
1950-02-24,22464.0,17.28
1950-02-17,22295.0,17.15
1950-02-10,22412.0,17.24
1950-02-03,22477.0,17.29
1950-01-27,21866.0,16.82
1950-01-20,21970.0,16.9
1950-01-13,21671.0,16.67
1950-01-06,22074.0,16.98
